event_id,title,releaseyear,date,locations,funfacts,productioncompany,distributor,director,writer,actor1,actor2,actor3,sffindneighborhoods,analysisneighborhoods,currentsupervisordistricts
687,By Hook or By Crook,2001,2999-01-07T07:00:00.000Z,"Department of Public Health (101 Grove Street at Polk, Civic Center)",,Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,,21,36,10
688,Doctor Dolittle,1998,2999-01-07T07:00:00.000Z,Larkin & Hyde Streets,,Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,,21,36,10
689,Quitters,2015,2999-01-07T07:00:00.000Z,Geary from 22nd Ave to Arguello,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,39,35,7
690,Chance- Season 1 ep107,2016,2999-01-07T07:00:00.000Z,60 Potomac,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,28,3,5
691,So I Married an Axe Murderer,1993,2999-01-07T07:00:00.000Z,Edinburgh Castle (950 Geary Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,50,36,10
692,Looking Season 2 ep 204,2015,2999-01-07T07:00:00.000Z,"Bi-Rite Creamery, 3692 18th Stret",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,37,20,5
693,Summertime,2015,2999-01-07T07:00:00.000Z,Fisherman's Wharf pier near Chapel (Port Walk #19),,"Creative Monster Productions, Inc.",01 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,,,
694,Ant-Man and the Wasp,2018,2999-01-07T07:00:00.000Z,Jones St btwn Sacramento and Pine,Stunt scene involving car flip,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,50,21,3
695,Chance- Season 1 ep104,2016,2999-01-07T07:00:00.000Z,Miraloma Mall at Portola Frontage Road,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,117,41,8
696,Summertime,2015,2999-01-07T07:00:00.000Z,Montgomery between California and Pine,,"Creative Monster Productions, Inc.",11 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,,,
697,The Bachelor,1999,2999-01-07T07:00:00.000Z,Merchant Exchange (465 California Street at Leidesdorff),,George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,108,8,3
698,The Presidio,1988,2999-01-07T07:00:00.000Z,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,108,8,3
699,Always Be My Maybe,2019,2999-01-07T07:00:00.000Z,19th Ave Home,,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,42,41,8
700,Alive,2020,2999-01-07T07:00:00.000Z,Pennsylvania at 23rd St,,CBS Corporation - CBS Studios Inc./CBS Television Studios,CBS,Uta Briesewitz,Jason Tracey,Ryan Phillippe,Mageina Tovah,Katrina Law,54,26,9
701,The Zodiac,2005,2999-01-07T07:00:00.000Z,,,Blackwater Films,THINKFilm,Alexander Bulkley,Alexander Bulkley & Kelley Bulkeley,Justin Chambers,Robin Tunney,,21,36,10
702,Time After Time,1979,2999-01-07T07:00:00.000Z,California Academy of Sciences (Golden Gate Park),"Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States.",Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,9,12,4
703,Etruscan Smile,2017,2999-01-07T07:00:00.000Z,"St Regis Hotel, 125 3rd Street",,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,32,8,10
704,Looking,2014,2999-01-07T07:00:00.000Z,Golden Gate Bridge,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,,,
705,Looking,2014,2999-01-07T07:00:00.000Z,Punjab,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,21,36,10
706,Foul Play,1978,2999-01-07T07:00:00.000Z,Flood Building (870 Market Street),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,19,8,3
707,Freebie and the Bean,1974,2999-01-07T07:00:00.000Z,Hyatt Regency Hotel (5 Embarcadero Center),,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,108,8,3
708,Looking Season 2 ep 202,2015,2999-01-07T07:00:00.000Z,Church @ Duboce Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,28,9,5
709,Chance- Season 1 ep106,2016,2999-01-07T07:00:00.000Z,Montgomery between Pacific and Broadway,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,106,23,3
710,Chance - Season 1 Pilot,2016,2999-01-07T07:00:00.000Z,Ellis and Jones St.,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,20,36,10
711,Chance - Season 1 Pilot,2016,2999-01-07T07:00:00.000Z,"Harvey Milk Rec Center, 50 Scott St.",,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,28,3,5
712,Goliath- Season 4,2021,2999-01-07T07:00:00.000Z,Union at Jasper Place,,"Picrow, Inc.",Amazon Studios,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde,106,23,3
713,Fearless,1993,2999-01-07T07:00:00.000Z,Kohl Building (400 Montgomery Street),,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,108,8,3
714,GirlBoss,2017,2999-01-07T07:00:00.000Z,"Clayton Post Office, 554 Clayton St.",,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,25,3,11
715,Boys and Girls,2000,2999-01-07T07:00:00.000Z,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,,,
716,Interview With The Vampire,1994,2999-01-07T07:00:00.000Z,6th Street On-ramp to Highway 280,,Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise,32,34,10
717,Bicentennial Man,1999,2999-01-07T07:00:00.000Z,"Postcard Row, Alamo Square, Hayes Valley",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,1492 Pictures,Buena Vista Pictures,Chris Columbus,Nicholas Kazan,Robin Williams,,,22,9,11
718,Cardinal X,2015,2999-01-07T07:00:00.000Z,1465 Revere Avenue between Keith and Jennings,,Fire Horse Film Productions LLC,,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,86,1,9
719,Sense8,2015,2999-01-07T07:00:00.000Z,Romain St.,Bicycle chase scene,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,115,38,5
720,Chance Season 2,2017,2999-01-07T07:00:00.000Z,Embarcadero between Bay and Chestnut St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,77,8,3
721,Nash Bridges,2021,2999-01-07T07:00:00.000Z,"1040 Columbus Avenue, Kennedy's",,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,106,23,3
722,180,2011,2999-01-07T07:00:00.000Z,Randall Museum,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand,113,5,5
723,Looking Season 2 ep 207,2015,2999-01-07T07:00:00.000Z,"Valenti, Marini, Perata, 4840 Mission Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,80,28,1
724,Tales of the City,2019,2999-01-07T07:00:00.000Z,Valencia btwn Liberty and 21st St,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,53,20,2
725,Steve Jobs,2015,2999-01-07T07:00:00.000Z,Davies Symphony Hall (201 Van Ness Ave.),,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,21,9,11
726,DEVS,2020,2999-01-07T07:00:00.000Z,Sycamore Alley,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,53,20,2
727,The Last Black Man in San Francisco,2019,2999-01-07T07:00:00.000Z,"Chateau Tivoli, 1057 Steiner St",,"LBMISF, LLC",A32,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,97,39,11
728,"Smile Again, Jenny Lee",2015,2999-01-07T07:00:00.000Z,87 Cervantes Blvd (beach),,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,17,13,6
729,Time After Time,1979,2999-01-07T07:00:00.000Z,Intersection of California & Grant Streets (Richmond District),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,104,6,3
730,A Smile Like Yours,1997,2999-01-07T07:00:00.000Z,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,,16,21,3
731,Big Eyes,2014,2999-01-07T07:00:00.000Z,Way Faire Inn on Leidesdorff,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,108,8,3
732,Chance Season 2,2017,2999-01-07T07:00:00.000Z,Filbert St at Stockton St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,106,23,3
733,The Last Black Man in San Francisco,2019,2999-01-07T07:00:00.000Z,"Sunset Super, 2425 Irving St",,"LBMISF, LLC",A54,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,39,35,7
734,"Murder in the First, Season 1",2014,2999-01-07T07:00:00.000Z,1821 Alabama Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,60,2,2
735,Shang-Chi and the Legend of the Ten Rings,2021,2999-01-07T07:00:00.000Z,"Fairmont Hotel, 950 Mason",,Freelance Restorations LLC,Disney/Marvel,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina,16,21,3
736,The Phone/Jexi,2019,2999-01-07T07:00:00.000Z,Zoe St btwn Brannan and Freelon St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,32,34,10
737,Bullitt,1968,2999-01-07T07:00:00.000Z,1153-57 Taylor Street,"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)","Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,16,21,3
738,Nine Months,1995,2999-01-07T07:00:00.000Z,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams,54,20,9
